# B大调 4/4拍 每分钟80拍
# 顺序分别为音名，位置，升降，时值
# 时值单位为拍
# “#”表示升，“b”表示降，“-”表示不升不降
# 遇到和弦只记录最高音（也许是因为节奏较快所以最高音较明显）
# 遇到三连音，不妨（1/3）或者（1/6）23333，但是我直接保留了多位小数（真的很多，是随便按的）
# 第一位为0表示休止
# 在某些小节，第2,4,6,8,10,12个十六分之音符为相同高度的音，例如17,18,19,20小节，这应该是一种不影响旋律的插入，因为只有右手部分，如果听起来变扭，可删去。

#9
D,5,#,1.25
G,4,#,0.25
B,4,-,0.25
D,5,#,0.25
C,5,#,1
F,5,#,1

#10
C,5,#,0.75
A,5,#,0.25
G,5,#,0.75
G,5,-,0.25
G,5,#,1
D,6,#,1

#11
G,5,#,1
D,6,#,1
C,6,#,0.5
C,6,#,0.166666666666666666666667
D,6,#,0.166666666666666666666667
C,6,#,0.166666666666666666666667
A,5,#,0.5
F,5,#,0.5

#12
G,5,#,3
0,5,-,0.5
D,5,#,0.5

#13
D,5,#,1.25
G,4,#,0.25
B,4,-,0.25
D,5,#,0.25
C,5,#,1
F,5,#,1

#14
C,5,#,0.5
G,5,-,0.5
G,5,#,0.5
A,5,#,0.5
D,5,#,0.25
B,5,-,0.25
C,5,#,0.25
A,5,#,0.25
B,4,-,0.25
G,5,#,0.25
A,4,#,0.25
F,5,#,0.25

#15
G,5,#,0.25
D,6,#,0.25
C,6,#,0.25
D,6,#,0.25
G,5,#,0.25
D,6,#,0.25
C,6,#,0.25
D,6,#,0.25
G,5,#,0.25
D,6,#,0.25
C,6,#,0.25
D,6,#,0.25
G,5,#,0.25
D,6,#,0.25
C,6,#,0.25
D,6,#,0.25

#16
G,5,#,0.25
D,6,#,0.25
C,6,-,0.25
D,6,#,0.25
G,5,#,0.25
D,6,#,0.25
C,6,-,0.25
D,6,#,0.25
G,5,#,0.25
D,6,#,0.25
C,6,-,0.25
D,6,#,0.25
G,5,#,0.5
D,5,#,0.5

#17
B,5,-,0.5
A,5,#,0.5
B,5,-,0.5
C,6,#,0.5
A,5,#,0.5
G,5,#,0.5
F,5,#,0.5
D,5,#,0.25
F,5,#,0.25

#18
G,5,#,0.5
F,5,#,0.5
G,5,#,0.5
B,5,-,0.5
F,5,#,0.5
E,5,-,0.5
D,5,#,0.5
D,5,#,0.25
F,5,#,0.25

#19
E,5,-,0.5
D,5,#,0.5
C,5,#,0.5
E,5,-,0.5
D,5,#,0.5
C,5,#,0.5
B,4,-,0.5
D,5,#,0.5

#20
C,5,#,0.5
B,4,-,0.5
A,4,#,0.5
G,4,#,0.5
G,4,-,0.5
G,4,#,0.5
A,4,#,1

#21
B,4,-,0.5
A,4,#,0.5
B,4,-,0.5
C,5,#,0.5
A,4,#,0.5
G,4,#,0.5
F,4,#,0.5
D,4,#,0.25
F,4,#,0.25

#22
G,4,#,0.5
F,4,#,0.5
G,4,#,0.5
B,4,-,0.5
F,4,#,0.5
E,4,-,0.5
D,4,#,0.5
D,4,#,0.25
F,4,#,0.25

#23
E,4,-,0.5
D,4,#,0.5
C,4,#,0.5
E,4,-,0.5
D,4,#,0.5
C,4,#,0.5
B,3,-,0.5
D,4,#,0.5

#24
C,4,#,0.5
B,3,-,0.5
A,3,#,0.5
D,4,#,0.5
G,3,#,2
